Timestamp,Which year of study are you? ,What is your major,CGPA,Hours,Are you a smoker?
2/16/2022 18:18,Senior,SUPPLYC,3.8,2,Yes
2/16/2022 12:55,Sophomore,STAT,3.4,3,Yes
2/16/2022 13:08,Senior,PHS,3.7,2,Yes
2/16/2022 12:56,Senior,Media design,3.7,2,No
2/16/2022 12:42,Sophomore,MATH,2.9,3,Yes
2/16/2022 12:52,Senior,MATH,3.9,4,No
2/16/2022 17:09,Junior,IS & OMBA,3.6,7,No
2/16/2022 13:00,Senior,INFOSCI,3.95,5,Yes
2/16/2022 12:59,Freshman,FINA,3.5,7,No
2/16/2022 13:14,Freshman,FINA,3.96,2.5,No
2/16/2022 12:55,Senior,ECON,3.56,3,Yes
2/16/2022 12:56,Senior,ECON,3.78,1,Yes
2/16/2022 13:02,Freshman,ECON,4,4,No
2/16/2022 13:39,Junior,ECON,3,6,No
2/16/2022 17:51,Junior,ECON,3.97,4,No
2/27/2022 15:31,Senior,ECON,3.5,3,No
2/28/2022 17:32,Senior,ECON,3.76,4,No
2/16/2022 13:15,Senior,CS/MATH,3.3,3,No
2/16/2022 12:42,Sophomore,CS,2.7,3,Yes
2/16/2022 12:44,Senior,CS,3.86,2,No
2/16/2022 12:55,Senior,CS,3.97,8,Yes
2/16/2022 13:07,Freshman,CS,4.67,3,No
2/16/2022 13:12,Junior,CS,3.87,3,No
2/16/2022 13:29,Junior,CS,3.2,6,Yes
2/16/2022 13:59,Senior,CS,3.3,4,No
2/16/2022 14:05,Junior,CS,3.85,3.5,No
2/16/2022 18:21,Junior,CS,3.85,6,No
2/28/2022 17:31,Sophomore,CS,3.4,3,Yes
2/28/2022 15:33,Sophomore,CS,4,5,No
2/28/2022 15:35,Senior,CS,3.9,3,No
2/16/2022 12:57,Senior,BIO,2.8,12,Yes
2/16/2022 14:44,Senior,BIO,3.7,1.2,Yes
2/16/2022 18:20,Junior,ARCH,3.5,2,No
